Name,MedalCount
"Michael Fred Phelps, II",23
"Raymond Clarence ""Ray"" Ewry",10
Larysa Semenivna Latynina (Diriy-),9
"Frederick Carlton ""Carl"" Lewis",9
Mark Andrew Spitz,9
